UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
HDFC Bank Apps,3.87,1030.59,3.87,1030.59,11,2021
HDFC Bank Apps,5.02,1082.99,5.02,1082.99,10,2021
HDFC Bank Apps,3.14,772.08,3.14,772.08,9,2021
HDFC Bank Apps,3.1,676.72,3.1,676.72,8,2021
HDFC Bank Apps,3,588.25,3,588.25,7,2021
HDFC Bank Apps,2.07,408.61,2.07,408.61,6,2021
HDFC Bank Apps,1.56,274.77,1.56,274.77,5,2021
HDFC Bank Apps,1.42,243.86,1.42,243.86,4,2021
HDFC Bank Apps,1.59,244.17,1.59,244.17,3,2021
HDFC Bank Apps,1.13,208.06,1.13,208.06,2,2021
HDFC Bank Apps,1.52,244.03,1.52,244.03,1,2021
ICICI Bank Apps,29.87,"8,491.18",33.43,"8,707.05",1,2022
ICICI Bank Apps,27.39,"8,537.11",30.66,"8,727.44",2,2022
ICICI Bank Apps,31.49,"10,304.08",35.13,"10,538.69",3,2022
ICICI Bank Apps,32.82,"9,086.72",37.65,"9,356.17",4,2022
ICICI Bank Apps,32.75,"9,221.65",37.59,"11,056.90",5,2022
ICICI Bank Apps,35.25,"6,931.44",39.37,"10,202.14",6,2022
ICICI Bank Apps,32.53,"7,745.19",37.34,"11,509.29",7,2022
ICICI Bank Apps,28.81,8742.96,31.99,8921.76,12,2021
ICICI Bank Apps,25.74,7049.36,29.14,7246.75,11,2021
ICICI Bank Apps,26.24,6167.22,29.27,6329.63,10,2021
ICICI Bank Apps,18.86,6395.93,22.11,6579.65,9,2021
ICICI Bank Apps,17.55,5476.78,19.81,5621.27,8,2021
ICICI Bank Apps,15.41,5761.98,18.26,5896.05,7,2021
ICICI Bank Apps,12.94,4958.01,15.29,5076.12,6,2021
ICICI Bank Apps,10.95,4411.52,13.16,4514.11,5,2021
ICICI Bank Apps,10.76,3672.3,14.37,3827.95,4,2021
ICICI Bank Apps,9.95,3703.08,13.95,3823.36,3,2021
ICICI Bank Apps,7.63,2393.8,9.93,2477.23,2,2021
ICICI Bank Apps,6.22,1835.97,10.46,1984.07,1,2021
IDFC Bank App,1.22,316.37,1.22,316.37,1,2022
IDFC Bank App,1.21,321.93,1.21,321.93,2,2022
IDFC Bank Apps,2.7,534.56,2.7,534.56,3,2022
IDFC Bank Apps,2.49,532.69,2.49,532.69,4,2022
IDFC Bank Apps,4.75,626.34,4.75,626.34,5,2022
IDFC Bank Apps,7.03,663.65,7.03,663.65,6,2022
IDFC Bank Apps,8.28,645.34,8.28,645.34,7,2022
India Post Payments Bank App,2.65,309.42,2.65,309.42,1,2022
India Post Payments Bank App,2.21,268.9,2.21,268.9,2,2022
India Post Payments Bank App,2.76,321.16,2.76,321.16,12,2021
India Post Payments Bank App,2.3,286.07,2.3,286.07,11,2021
India Post Payments Bank App,2.39,291.7,2.39,291.7,10,2021
India Post Payments Bank App,2.28,267.94,2.28,267.94,9,2021
India Post Payments Bank App,2,255.16,2,255.16,8,2021
India Post Payments Bank App,1.79,231.52,1.79,231.52,7,2021
India Post Payments Bank App,1.47,203.73,1.47,203.73,6,2021
India Post Payments Bank App,1.29,178.52,1.29,178.52,5,2021
India Post Payments Bank App,1.32,174.08,1.32,174.08,4,2021
India Post Payments Bank App,1.21,167.52,1.21,167.52,3,2021
India Post Payments Bank App,1.23,145.46,1.23,145.46,2,2021
India Post Payments Bank App,1.08,123.25,1.08,123.25,1,2021
India Post Payments Bank Apps,2.95,321.14,2.95,321.14,3,2022
India Post Payments Bank Apps,2.8,328.53,2.8,328.53,4,2022
India Post Payments Bank Apps,3.1,351.88,3.1,351.88,5,2022
India Post Payments Bank Apps,3.98,467.34,3.98,467.34,6,2022
India Post Payments Bank Apps,4.08,480.59,4.08,480.59,7,2022
IndusInd Bank App,1.19,1269.16,1.19,1269.16,12,2021
IndusInd Bank App,1.1,1407.31,1.1,1407.31,11,2021
IndusInd Bank App,1.05,1014.56,1.05,1014.56,10,2021
IndusInd Bank App,2.18,458.06,2.18,458.06,7,2021
IndusInd Bank App,2.18,421.41,2.18,421.41,6,2021
IndusInd Bank App,3.12,433.37,3.12,433.37,5,2021
IndusInd Bank App,4.2,654.49,4.2,654.49,4,2021
IndusInd Bank App,4.49,541.66,4.49,541.66,3,2021
IndusInd Bank App,2.16,379.54,2.16,379.54,2,2021
IndusInd Bank App,1.82,367.77,1.82,367.77,1,2021
IndusInd Bank Apps,1.03,"2,252.30",1.03,"2,252.30",3,2022
IndusInd Bank Apps,1.02,"2,596.71",1.02,"2,596.71",4,2022
IndusInd Bank Apps,1.01,"1,711.21",1.01,"1,711.21",5,2022
IndusInd Bank Apps,1,"1,645.13",1,"1,645.13",6,2022
Jio Payments Bank App,2.05,114.39,2.05,114.39,1,2022
Jio Payments Bank App,1.97,111.85,1.97,111.85,2,2022
Jio Payments Bank App,1.65,100.19,1.65,100.19,12,2021
Jio Payments Bank App,1.38,89.68,1.38,89.68,11,2021
Jio Payments Bank App,1.33,85.75,1.33,85.75,10,2021
Jio Payments Bank App,1.24,74.89,1.24,74.89,9,2021
Jio Payments Bank App,1.06,68.16,1.06,68.16,8,2021
Jio Payments Bank App,1.03,63.44,1.03,63.44,7,2021
Jio Payments Bank Apps,2.27,129.5,2.27,129.5,3,2022
Jio Payments Bank Apps,2.1,126.25,2.1,126.25,4,2022
Jio Payments Bank Apps,2.08,127.88,2.08,127.88,5,2022
Jio Payments Bank Apps,1.87,116.34,1.87,116.34,6,2022
Jio Payments Bank Apps,1.9,116.59,1.9,116.59,7,2022
Jupiter,1.32,164.8,1.32,164.8,3,2022
Jupiter,1.47,186.13,1.47,186.13,4,2022
Jupiter,1.79,215.44,1.79,215.44,5,2022
Jupiter,1.89,223.22,1.89,223.22,6,2022
Jupiter,2.1,254.14,2.1,254.14,7,2022
Jupiter Money,1.02,156.15,1.02,156.15,1,2022
Jupiter Money,1.13,140.79,1.13,140.79,2,2022
Kotak Mahindra Bank Apps,6.88,"1,333.06",6.88,"1,333.06",1,2022
Kotak Mahindra Bank Apps,6.91,"1,383.30",6.91,"1,383.30",2,2022
Kotak Mahindra Bank Apps,7.92,"1,587.51",7.92,"1,587.51",3,2022
Kotak Mahindra Bank Apps,7.96,"1,684.35",7.96,"1,684.35",4,2022
Kotak Mahindra Bank Apps,8.5,"1,882.81",8.5,"1,885.00",5,2022
Kotak Mahindra Bank Apps,8.33,"1,758.64",8.33,"1,762.28",6,2022
Kotak Mahindra Bank Apps,8.86,"1,815.87",8.86,"1,816.33",7,2022
Kotak Mahindra Bank Apps,6.39,1168.93,6.39,1168.93,12,2021
Kotak Mahindra Bank Apps,5.78,1035.67,5.78,1035.67,11,2021
Kotak Mahindra Bank Apps,5.38,944.5,5.38,944.5,10,2021
Kotak Mahindra Bank Apps,4.31,771.05,4.31,771.05,9,2021
Kotak Mahindra Bank Apps,3.98,723.21,3.98,723.21,8,2021
Kotak Mahindra Bank Apps,3.46,642.53,3.46,642.53,7,2021
Kotak Mahindra Bank Apps,2.8,535.98,2.8,535.98,6,2021
Kotak Mahindra Bank Apps,2.37,427.4,2.37,427.4,5,2021
Kotak Mahindra Bank Apps,2.13,381.37,2.13,381.37,4,2021
Kotak Mahindra Bank Apps,2.26,397.99,2.26,397.99,3,2021
Kotak Mahindra Bank Apps,1.95,347.66,1.95,347.66,2,2021
Kotak Mahindra Bank Apps,1.88,343.38,1.88,343.38,1,2021
Mobikwik,3.87,886.55,3.87,886.55,1,2022
Mobikwik,3.78,755.89,3.78,755.89,2,2022
Mobikwik,3.6,739.25,3.6,739.25,3,2022
Mobikwik,2.37,421.47,2.37,421.47,4,2022
Mobikwik,2.46,397.7,2.46,397.7,5,2022
Mobikwik,2.31,404.63,2.31,404.63,6,2022
Mobikwik,2.48,462.17,2.48,462.17,7,2022
Mobikwik,4.24,985.86,4.24,985.86,12,2021
Mobikwik,5.18,1478.95,5.18,1478.95,11,2021
Mobikwik,4.08,1070.32,4.08,1070.32,10,2021
Mobikwik,3.2,687.94,3.2,687.94,9,2021
Mobikwik,2.59,418.04,2.59,418.04,8,2021
Mobikwik,2.8,402.42,2.8,402.42,7,2021
Mobikwik,3.21,535.12,3.21,535.12,6,2021
Mobikwik,3.18,467.11,3.18,467.11,5,2021
Mobikwik,2.09,254.32,2.09,254.32,4,2021
Mobikwik,2.22,315.59,2.22,315.59,3,2021
Mobikwik,1.92,216.94,1.92,216.94,2,2021
Mobikwik,1.94,253.16,1.94,253.16,1,2021
Paytm Payments Bank App,615.9,"70,892.01",710.28,"85,125.97",1,2022
Paytm Payments Bank App,613.77,"72,204.32",706.77,"86,299.22",2,2022
Paytm Payments Bank App,729.63,"83,840.44",837.14,"95,650.36",3,2022
Paytm Payments Bank App,740.76,"85,918.88",851.61,"1,01,649.06",4,2022
Paytm Payments Bank App,780.87,"91,546.50",887.45,"1,08,276.78",5,2022
Paytm Payments Bank App,778.87,"89,388.78",877.5,"1,02,119.90",6,2022
Paytm Payments Bank App,828.63,"94,507.77",933.88,"1,11,149.66",7,2022
Paytm Payments Bank App,612.71,71874.13,706.37,88094.49,12,2021
Paytm Payments Bank App,543.71,66920.55,631.3,81403.37,11,2021
Paytm Payments Bank App,542.57,64727.41,632.18,80508.04,10,2021
